Bet #	Date	Bookmaker	Bet Type	League	Home Team	Away Team	Bet Placed	Odds	Stake	Live Bet?	Win	Bonus Bet?		 At Risk 	 Normalized Result 	Odds Probability	 Potential Payout 	 Potential Gain 	 Bet Result 		Notes
	2/25/2023	DraftKings	     Leg	NCAAM	Saint Johns	UCONN	UCONN ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/25/2023	DraftKings	     Leg	NCAAM	Sam Houston	Southern Utah	Sam Houston ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
58	2/25/2023	DraftKings	Winner (ML)	NCAAM	Baylor	Texas	Baylor ML	145	$10.00	Yes	Yes	No		 $ 10.00 	1.28	41%	 $ 24.50 	 $ 14.50 	 $ 24.50 	 $ 14.50 	
59	2/25/2023	DraftKings	4+ Parlay	NCAAM			See Below	170	$20.00	No	No	No		 $ 20.00 	-0.71	37%	 $ 54.00 	 $ 34.00 	 $ -   	 $ (20.00)	
	2/25/2023	DraftKings	     Leg	NCAAM	Dayton	George Mason	Dayton ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/25/2023	DraftKings	     Leg	NCAAM	Duke	Virginia Tech	Duke ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/25/2023	DraftKings	     Leg	NCAAM	Kansas	West Virginia	Kansas ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/25/2023	DraftKings	     Leg	NCAAM	Miami FL	Florida St	Miami FL ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/25/2023	DraftKings	     Leg	NCAAM	Purdue	Indiana	Purdue ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
60	2/25/2023	DraftKings	Winner (ML)	NCAAM	Sam Houston	Southern Utah	Sam Houston ML	-180	$30.00	No	Yes	No		 $ 30.00 	0.81	64%	 $ 46.67 	 $ 16.67 	 $ 46.67 	 $ 16.67 	
